,model,environment,best_score,best_solution,n_iterations,record,seed,test
0,abcd,Acrobot-v1,744,"[ 4.48016851  0.82346802  6.52382052 ... -8.25773595  1.39450324
 -0.52080703]",27,[1385. 1254. 1254. ...    0.    0.    0.],0,10165
1,abcd,Acrobot-v1,750,"[ 1.42398118 -0.30462148  3.42724788 ... -2.18257786 -2.00915604
  5.47968105]",45,[1380. 1380. 1116. ...    0.    0.    0.],1,9006
2,abcd,Acrobot-v1,726,"[-2.87873043  3.98826411 -0.52153011 ...  2.39792527  0.80260379
 -6.12168753]",48,[1406. 1228. 1070. ...    0.    0.    0.],2,9428
3,abcd,Acrobot-v1,743,"[-0.34348362  0.40864169 -1.43107293 ...  1.16976684 -2.72712336
 -6.06710521]",37,[1474. 1121. 1106. ...    0.    0.    0.],3,9251
4,abcd,Acrobot-v1,743,"[-11.27506305  -0.86940244   5.45080431 ...  -0.33941731   5.65050292
  -4.42862415]",30,[1232. 1232. 1232. ...    0.    0.    0.],4,8767
5,abcd,Acrobot-v1,747,"[ 3.5478361   1.8025678  -4.00377871 ...  2.20146062  1.50762997
 -3.28605094]",24,[1262. 1161. 1058. ...    0.    0.    0.],5,9523
6,abcd,Acrobot-v1,747,[3.50530785 3.89842633 6.2557877  ... 2.76855375 3.91799693 1.61124196],31,[1155. 1155. 1155. ...    0.    0.    0.],6,9408
7,abcd,Acrobot-v1,745,"[ 3.94898508  2.18982056  6.53565583 ... -2.86714791  1.82823661
  5.10091908]",47,[1508. 1508. 1283. ...    0.    0.    0.],7,8864
8,abcd,Acrobot-v1,749,"[-2.52978238  3.13174709 -0.64000164 ... -0.72203881 -7.26021193
  3.08900337]",38,[1323. 1323. 1192. ...    0.    0.    0.],8,8845
9,abcd,Acrobot-v1,741,"[-2.90346266  6.85835775 -4.27195644 ... -2.82432772 -1.96013582
 -3.49980217]",38,[1449. 1241. 1241. ...    0.    0.    0.],9,9711
10,abcd,Acrobot-v1,743,"[ 1.71469261 -0.54392608  1.75891266 ... -8.25284017 -1.25935977
  1.1184446 ]",47,[1175. 1175. 1175. ...    0.    0.    0.],10,10379
11,abcd,Acrobot-v1,739,"[ 2.39413441  0.65760634 -1.34712859 ...  0.33192307 -2.82230717
 -3.28835388]",243,[1160. 1160. 1160. ...    0.    0.    0.],11,9769
12,abcd,Acrobot-v1,725,"[ 4.23405267  0.34972074 -1.66741274 ... -3.30368368 -1.9632559
 -2.91739087]",25,[1290. 1100. 1063. ...    0.    0.    0.],12,9795
13,abcd,Acrobot-v1,722,"[-1.59221065  4.15853205 -0.87869944 ...  1.02757089  1.15272224
  2.32539388]",35,[1118. 1085.  988. ...    0.    0.    0.],13,10585
14,abcd,Acrobot-v1,748,"[-3.05962737 -2.80692749  1.49728851 ... -5.09645956 -5.03947338
 -4.46153865]",30,[1190. 1190. 1190. ...    0.    0.    0.],14,8435
15,abcd,Acrobot-v1,744,"[-4.19481188  1.22436368 -0.05220786 ...  1.99985922  1.77798175
 -3.66487303]",59,[1230. 1230. 1230. ...    0.    0.    0.],15,10003
16,abcd,Acrobot-v1,737,"[ 3.59657279  0.80280005 -2.15986057 ... -2.28039205  1.81098141
  6.21966449]",77,[1358. 1358. 1215. ...    0.    0.    0.],16,9007
17,abcd,Acrobot-v1,740,"[ 2.90924211 -0.47752197 -4.87597184 ...  0.08594251 -3.55837
 -4.5695835 ]",43,[1572. 1027. 1027. ...    0.    0.    0.],17,9198
18,abcd,Acrobot-v1,733,"[ 5.97508228 -3.7149992   2.48696532 ...  6.01582461  0.71199177
  1.45677808]",48,[1365. 1233. 1233. ...    0.    0.    0.],18,8592
19,abcd,Acrobot-v1,709,"[-7.30288304  1.93335132 -2.59513585 ...  3.62709966 -2.9473
  6.96582988]",59,[1046. 1046. 1046. ...    0.    0.    0.],19,8291
20,abcd,Acrobot-v1,745,"[ 6.63530015  2.78776639 -3.26915591 ...  1.9881467   3.75174621
  2.55395141]",133,[1581. 1473. 1397. ...    0.    0.    0.],20,9279
21,abcd,Acrobot-v1,742,"[-0.63978141 -0.69194295 -3.45681032 ... -0.6534052   4.72977133
  1.20598178]",72,[1282. 1166. 1019. ...    0.    0.    0.],21,8999
22,abcd,Acrobot-v1,745,"[-3.64735694  1.69350845  2.7476902  ... -2.07311449 -2.3359944
 -1.05735125]",96,[1430. 1170. 1170. ...    0.    0.    0.],22,8864
